Sección;División;Agrupación;Grupo;Epígrafe;Denominación;Alta en I.A.E.
1;3;36;363;363,9;OTROS ACCESORIOS Y REPUESTOS AUTOMOVILES;
1;3;37;;;CONST. NAVAL, REPAR. Y MANT. DE BUQUES;
1;3;37;371;;CONSTRUCCION NAVAL;Si
1;3;37;371;371,1;BUQUES DE CASCO DE ACERO;
1;3;37;371;371,2;BUQUES DE CASCO DE MADERA;
1;3;37;371;371,3;BUQUES DE CASCO DE PLASTICO;
1;3;37;371;371,4;ARTEFACTOS FLOTANTES;
1;3;37;371;371,5;MOTORES, Y TURBINAS PARA EMBARCACIONES;
1;3;37;371;371,6;ACCESORIOS Y REPUESTOS EMBARCACIONES;
1;3;37;372;;REPARACION Y MANTENIMIENTO DE BUQUES;Si
1;3;37;372;372,1;SERV.REPARACION Y MANTENIM. BUQUES;
1;3;37;372;372,2;SERV.DESGUACE DE EMBARCACIONES;
1;3;38;;;CONST. DE OTRO MATERIAL DE TRANSPORTE;
1;3;38;381;;CONST.REPARAC.MANTENIM. FERROCARRILES;Si
1;3;38;381;381,1;MATERIAL FERROVIARIO;
1;3;38;381;381,2;SERV. REPARACION MATERIAL FERROVIARIO;
1;3;38;382;;CONSTRUCC.REPARACION, MANT. AERONAVES;Si
1;3;38;382;382,1;AERONAVES E INGENIOS ESPACIALES;
1;3;38;382;382,2;SERV. REPARACION Y MANTENIMIENTO AVIONES;
1;3;38;383;;CONSTRUCC. BICICLETAS Y MOTOCICLETAS;Si
1;3;38;383;383,1;MOTOCICLETAS, Y CICLOMOTORES;
1;3;38;383;383,2;BICICLETAS, TRICICLOS Y MONOCICLOS;
1;3;38;383;383,3;VEHICULOS ESPECIALES CON MEC. PROPULSION;
1;3;38;383;383,4;MOTORES PARA MOTOS, CICLIMOTORES;
1;3;38;383;383,5;ACCESORIOS PARA MOTOS Y BICICLETAS;
1;3;38;389;;CONSTRUCC. OTRO MATERIAL TRANSPORTE NCOP;Si
1;3;38;389;389,1;REMOLQUES AGRICOLAS;
1;3;38;389;389,2;VEHICULOS ACCIONADOS A MANO;
1;3;38;389;389,9;ACCESORIOS PARA OTRO MATERIAL TTE. NCOP;
1;3;39;;;FAB. INSTRUM. DE PRECISION OPTICA Y SIM.;
1;3;39;391;;FAB.INSTRUM. PRECISION,MEDIDA,CONTROL;Si
1;3;39;391;391,1;CONTADORES NO ELECTRICOS;
1;3;39;391;391,2;INSTRUMENTOS PARA LA NAVEGACION;
1;3;39;391;391,3;INSTRUMENTOS TOPOGRAFIA,METEREOLOGIA,...;
1;3;39;391;391,4;INSTRUM. MEDIDA DENSIDAD, TEMPERATURA...;
1;3;39;391;391,5;INSTRUM. ENSAYOS MECANICOS DE MATERIALES;
1;3;39;391;391,6;BALANZAS DE PRECISION;
1;3;39;391;391,7;OTROS INSTRUM. PRECISION;
1;3;39;391;391,8;ACCESORIOS INSTRUM. APARAT. PRECISION;
1;3;39;392;;FAB. MAT. MEDICO-QUIR. Y APAR. ORTOPED.;
1;3;39;392;392,1;FAB. MATERIAL MEDICO-QUIRURGICO;Si
1;3;39;392;392,2;FAB. APARATOS PROTESIS Y ORTOPEDIA;Si
1;3;39;393;;FAB. INSTRUM. OPTICOS Y MAT. FOTO Y CINE;
1;3;39;393;393,1;FAB.INSTRUM.OPTICOS Y MAT. FOTOGRAFICO;Si
1;3;39;393;393,2;FAB. MONTURAS PARA GAFAS NO PLASTICAS;Si
1;3;39;399;;FAB. RELOJES Y OTROS INSTRUMENTOS NCOP;Si
1;3;39;399;399,1;RELOJES Y CRONOGRAFOS PULSERA Y BOLSILLO;
1;3;39;399;399,2;RELOJES DESPERTADORES;
1;3;39;399;399,3;RELOJES DE PARED Y SOBREMESA;
1;3;39;399;399,4;RELOJES PARA VEHICULOS;
1;3;39;399;399,5;RELOJES DE TORRE, ESTACION,...;
1;3;39;399;399,6;APARATOS CON MECANISMOS DE RELOJERIA;
1;3;39;399;399,7;MAQUINAS DE RELOJ MONTADAS;
1;3;39;399;399,8;CAJAS DE RELOJES;
1;3;39;399;399,9;ACCESORIOS DE RELOJES Y OTROS INSTRUM.;
1;4;;;;OTRAS INDUSTRIAS MANUFACTURERAS;
1;4;41;;;INDUSTR. DE PROD. ALIMENTICIOS Y BEBIDAS;
1;4;41;411;;FAB. Y EMVASADO DE ACEITE DE OLIVA;
1;4;41;411;411,1;FAB. Y ENVASADO DE ACEITE DE OLIVA;Si
1;4;41;411;411,2;FAB. ACEITE DE OLIVA;Si
1;4;41;411;411,3;ENVASADO DE ACEITE DE OLIVA;Si
1;4;41;412;;FAB. ACEITE Y GRASAS (EXCEPTO OLIVA);
1;4;41;412;412,1;EXTRACC. Y ENVASADO ACEITES SEMILLAS;Si
1;4;41;412;412,2;OBTENC.Y ENVASADO GRASAS ANIMALES MAR;Si
1;4;41;412;412,3;REFINADO Y OTROS TRATAMIENTOS GRASAS;Si
1;4;41;412;412,4;OBTENCION Y ENVASADO MARGARINA;Si
1;4;41;413;;SACRIF.PREP.CONSERV. GANADO E INCUB.AVES;
1;4;41;413;413,1;SACRIFICIO Y DESPIECE DE GANADO;Si
1;4;41;413;413,2;FAB.PTOS.CARNICOS DE TODAS CLASES;Si
1;4;41;413;413,3;SALAS DESPIECE AUTONOMAS;Si
1;4;41;413;413,4;INCUBACION Y VENTA DE POLLUELOS;Si
1;4;41;414;;INDUSTRIAS LACTEAS;
1;4;41;414;414,1;PREPARACION DE LECHE;Si
1;4;41;414;414,2;PREPARACION LECHE EN CONSERVA;Si
1;4;41;414;414,3;FAB. QUESO Y MANTEQUILLA;Si
1;4;41;414;414,4;ELABORACION DE HELADOS Y SIMILARES;Si
1;4;41;415;;FAB. JUGOS Y CONSERVAS VEGETALES;Si
1;4;41;415;415,1;CONSERVAS VEGETALES;
1;4;41;415;415,2;EXTRACTOS,ZUMOS Y OTROS PREPARADOS;
1;4;41;415;415,3;LIMPIEZA,CLASIFIC.Y ENVASE FRUTAS;
1;4;41;416;;FAB. CONSERVAS PESCADO;Si
1;4;41;416;416,1;CONSERVAS DE PESCADO;
1;4;41;416;416,2;PTOS.RESIDUALES CONSERVACION PESCADO;
1;4;41;417;;FAB. PRODUCTOS DE MOLINERIA;
1;4;41;417;417,1;FAB. HARINAS Y SEMOLAS;Si
1;4;41;417;417,2;FAB. OTROS PTOS. MOLINERIA;Si
1;4;41;418;;FAB. PASTAS ALIMENT. Y PROD. AMILACEOS;
1;4;41;418;418,1;FAB. PASTAS ALIMENTICIAS;Si
1;4;41;418;418,2;FAB. PTOS. AMILACEOS;Si
1;4;41;419;;INDUST. PAN,BOLLERIA,PASTEL. Y GALLETAS;
1;4;41;419;419,1;INDUSTRIA DEL PAN Y BOLLERIA;Si
1;4;41;419;419,2;INDUST. BOLLERIA Y PASTELERIA;Si
1;4;41;419;419,3;INDUST. ELABORACION MASAS FRITAS;Si
1;4;42;;;INDUST. OT. PROD.ALIMENT. BEBIDAS Y TAB.;
1;4;42;420;;INDUSTRIAS DEL AZUCAR;Si
1;4;42;420;420,1;AZUCAR Y JARABES DE AZUCAR;
1;4;42;420;420,2;PTOS. RESIDUALES DE LA INDUSTRIA AZUCAR;
1;4;42;421;;INDUST. CACAO CHOCOL. Y PROD. CONFITERIA;
1;4;42;421;421,1;INDUSTRIA CACAO Y CHOCOLATE;Si
1;4;42;421;421,2;ELABORACION PTOS. CONFITERIA;Si
1;4;42;422;;INDUST. PROD.ALIMENT.ANIMAL (I.HAR.PES.);
1;4;42;422;422,1;FORRAJES DESHIDRATADOS ALIMENTAC. ANIMAL;Si
1;4;42;422;422,2;HARINAS PESCADO Y OTROS PTOS. PIENSOS;Si
1;4;42;422;422,3;ELAB.PIENSOS COMP. CUALQ.CLASE(EXC.4224);Si
1;4;42;422;422,4;ELAB.PIENSOS COMP. ANIMALES DOMESTICOS;Si
1;4;42;423;;ELABORACION DE PRODUC. ALIMENT. DIVERSOS;
1;4;42;423;423,1;ELAB. CAFE, TE, Y SUCEDANEOS;Si
1;4;42;423;423,2;ELAB. SOPAS PREPARADAS Y CONDIMENTOS;Si
1;4;42;423;423,3;ELAB. PTOS. DIETETICOS Y DE REGIMEN;Si
1;4;42;423;423,9;ELAB. OTROS PTOS. ALIMENTICIOS NCOP;Si
1;4;42;424;;INDUST. ALCOHOLES ETILICOS DE FERMENT.;
1;4;42;424;424,1;DESTILACION Y RECTIFICACION ALCOHOLES;Si
1;4;42;424;424,2;OBTENCION AGUARDIENTES NATURALES;Si
1;4;42;424;424,3;OBTENC. AGUARDIENTES COMPUESTOS;Si
1;4;42;425;;INDUST. VINICOLAS;
1;4;42;425;425,1;ELABORACION Y CRIANZA DE VINOS;Si
1;4;42;425;425,2;ELABORACION DE VINOS ESPUMOSOS;Si
1;4;42;425;425,3;ELABORACION OTROS VINOS ESPECIALES;Si
1;4;42;425;425,9;OTRAS INDUSTRIAS VINICOLAS NCOP;Si
1;4;42;426;;SIDRERIAS;Si
1;4;42;426;426,1;SIDRA Y OTRAS BEBIDAS FERMENTADAS;
1;4;42;426;426,2;PTOS. RESIDUALES DE SIDRERIAS;
1;4;42;427;;FAB. CERVEZA Y MALTA DE CERVEZA;Si
1;4;42;427;427,1;CERVEZA Y MALTA DE CERVEZA;
1;4;42;427;427,2;SUBPRODUCTOS RESIDUALES DE CERVEZA;
1;4;42;428;;INDUST. AGUAS MINERALES,GASEOSAS Y OTRAS;
1;4;42;428;428,1;PREP. Y ENVASADO DE AGUAS MINERALES;Si
1;4;42;428;428,2;FAB. AGUAS GASEOSAS Y OTRAS BEBIDAS SIN;Si
1;4;42;429;;INDUST. DEL TABACO;
1;4;42;429;429,1;ELAB. CIGARROS, CIGARRILLOS DE TABACO;Si
1;4;42;429;429,2;PRIMERA TRANSFORMACION TABACO;Si
1;4;43;;;INDUST. TEXTIL;
1;4;43;431;;INDUST. ALGODON Y SUS MEZCLAS;
1;4;43;431;431,1;PREP. FIBRAS DE ALGODON;Si
1;4;43;431;431,2;HILADO Y RETORCIDO DEL ALGODON;Si
1;4;43;431;431,3;TEJIDO ALGODON Y SUS MEZCLAS;Si
1;4;43;432;;INDUST. LANA Y SUS MEZCLAS;
1;4;43;432;432,1;PREP. FIBRAS LANA;Si
1;4;43;432;432,2;HILADO Y RETORCIDO LANA;Si
1;4;43;432;432,3;TEJIDO DE LANA;Si
1;4;43;433;;INDUSTRIA DE LA SEDA NATURAL;Si
1;4;43;433;433,1;PTOS. IND. SEDA NATURAL Y SUS MEZCLAS;
1;4;43;433;433,2;PREP. HILADO Y TEJIDO DE FIBRAS SINTETIC;
1;4;43;434;;INDUSTRIA DE LAS FIBRAS DURAS Y MEZCLAS;Si
1;4;43;434;434,1;FIBRAS DURAS PREPARADAS PARA HILADO;
1;4;43;434;434,2;SUBPRODUCTOS DE LA PREP. FIBRAS DURAS;
1;4;43;434;434,3;HILADOS Y RETORCIDOS DE FIBRAS DURAS;
1;4;43;434;434,4;TEJIDOS DE FIBRAS DURAS Y SUS MEZCLAS;
1;4;43;435;;FAB. GENEROS DE PUNTO;
1;4;43;435;435,1;FAB. GENEROS DE PUNTO EN PIEZA;Si
1;4;43;435;435,2;FAB. CALCETERIA;Si
1;4;43;435;435,3;FAB. PRENDAS INTERIORES PUNTO;Si
1;4;43;435;435,4;FAB. PRENDAS EXTERIORES DE PUNTO;Si
1;4;43;436;;ACABADO DE TEXTILES;Si
1;4;43;436;436,1;TEXTILES BLANQUEADOS;
1;4;43;436;436,2;TEXTILES TEåIDOS;
1;4;43;436;436,3;TEXTILES ESTAMPADOS;
1;4;43;436;436,9;TEXTILES APRESTADOS Y MERCERIZADOS;
1;4;43;437;;FAB. ALFOMBRAS Y TAPIZES Y TEJIDOS IMPR.;
1;4;43;437;437,1;FAB. ALFOMBRAS Y TAPICES;Si
1;4;43;437;437,2;FAB. TEJIDOS IMPREGNADOS;Si
1;4;43;439;;OTRAS INDUSTRIAS TEXTILES;
1;4;43;439;439,1;CORDELERIA;Si
1;4;43;439;439,2;FAB. FIELTROS, TULES, ENCAJES, ETC.;Si
1;4;43;439;439,3;FAB. TEXTILES CON FIBRAS RECUPERACION;Si
1;4;43;439;439,9;OTRAS INDUSTRIAS TEXTILES NCOP;Si
1;4;44;;;INDUST. DEL CUERO;
1;4;44;441;;CURTICION Y ACABADO DE CUEROS Y PIELES;Si
1;4;44;441;441,1;CUEROS Y PIELES NO ACABADAS;
1;4;44;441;441,2;CUEROS Y PIELES ACABADAS;
1;4;44;441;441,3;CUEROS Y PIELES REGENERADAS, SUBPRODUCT.;
1;4;44;442;;FAB. ARTICULOS DE CUERO Y SIMILARES;
1;4;44;442;442,1;FAB.ART. MARROQUINERIA Y VIAJE;Si
1;4;44;442;442,2;FAB. GUANTES DE PIEL;Si
1;4;44;442;442,9;FAB. OTROS ARTICULOS DE CUERO NCOP;Si
1;4;45;;;INDUST. CALZADO,VESTIDO Y OTR. CONF.TEX.;
1;4;45;451;;FAB. SERIE CALZADO (EXCEP. CAUCHO/MADER);Si
1;4;45;451;451,1;PTOS. INTERMEDIOS DE FAB. CALZADO;
1;4;45;451;451,2;CALZADO DE CALLE FAB. EN SERIE;
1;4;45;451;451,3;ZAPATILLAS DE CASA, CALZADOS ESPECIALES;
1;4;45;451;451,4;RECORTES Y DESPERDICIOS DE CUERO;
1;4;45;452;;FAB. CALZADO ARTESANIA Y A MEDIDA;Si
1;4;45;452;452,1;CALZADO ARTESANIA Y MEDIDA;
1;4;45;452;452,2;CALZADO ORTOPEDICO;
1;4;45;453;;CONFECC. TODA CLASE PRENDAS VESTIR;Si
1;4;45;454;;CONFECC. MEDIDA PRENDAS VESTIR;Si
1;4;45;454;454,1;PRENDAS VESTIR HECHAS A MEDIDA;
1;4;45;454;454,2;SOMBREROS Y ACCESORIOS PARA EL VESTIDO;
1;4;45;455;;CONFEC. DE OTROS ART. CON MATERIAS TEXT.;
1;4;45;455;455,1;CONFECC. ART. TEXTILES HOGAR/TAPICERIA;Si
1;4;45;455;455,9;CONFECC. OTROS ART. TEXTILES NCOP;Si
1;4;45;456;;INDUST. DE LA PELETERIA;
1;4;45;456;456,1;PELETERIA NATURAL;Si
1;4;45;456;456,2;PELETERIA ARTIFICIAL;Si
1;4;46;;;INDUST. MADERA, CORCHO Y MUEBLES DE MAD.;
1;4;46;461;;ASERRADO Y PREP. INDUSTRIAL DE LA MADERA;Si
1;4;46;461;461,1;PTOS. ASERRADO Y PREP. IND. MADERA;
1;4;46;461;461,2;PTOS. RESIDUALES IND. MADERA;
1;4;46;462;;FAB. PRODUC. SEMIELABORADOS DE MADERA;
1;4;46;462;462,1;CHAPAS DE MADERA;Si
1;4;46;462;462,2;MADERAS CHAPADAS, CONTRACHAPADAS, ETC;Si
1;4;46;462;462,3;TABLEROS, PANELES DE FIBRAS Y DE PART.;Si
1;4;46;462;462,4;MADERAS MEJORADAS;Si
1;4;46;463;;FAB. SERIE PIEZAS DE CARPINTERIA;Si
1;4;46;463;463,1;PUERTAS Y VENTANAS DE MADERA;
1;4;46;463;463,2;PARQUET, ENTARIMADO Y ADOQUINES MADERA;
1;4;46;463;463,3;OTRAS PIEZAS CARPINTERIA PARA CONSTRUCC.;
1;4;46;463;463,4;ELEM. ESTRUCTURALES Y PREFABRIC. MADERA;
1;4;46;464;;FAB. ENVASES Y EMBALAJES DE MADERA;Si
1;4;46;464;464,1;ENVASES Y EMBALAJES INDUSTRIALES MADERA;
1;4;46;464;464,2;TONELERIA;
1;4;46;464;464,3;ESTUCHES, BAULES, MALETAS DE MADERA;
1;4;46;465;;FAB. OBJETOS DIVERSOS DE MADERA;Si
1;4;46;465;465,1;OBJETOS MADERA DE USO DOMESTICO;
1;4;46;465;465,2;HERRAMIENTAS, MANGOS, MONTURAS DE MADERA;
1;4;46;465;465,3;ART. MADERA PARA FAB. CALZADO;
1;4;46;465;465,4;ART. MADERA PARA IND. TEXTIL;
1;4;46;465;465,5;CALZADO DE MADERA;
1;4;46;465;465,6;HARINA Y LANA DE MADERA;
1;4;46;465;465,9;OTROS OBJETOS MADERA NCOP;
1;4;46;466;;FAB. PRODUCTOS CORCHO;Si
1;4;46;466;466,1;PRODUCTOS DE CORCHO;
1;4;46;466;466,2;PTOS. RESIDUALES FAB. CORCHO;
1;4;46;467;;FAB. ART. JUNCO, CAÑA Y CESTERIA;Si
1;4;46;467;467,1;ARTICULOS DE MATERIAS TRENZABLES;
1;4;46;467;467,2;CEPILLOS, BROCHAS, ESCOBAS Y SIMILARES;
1;4;46;468;;INDUST. MUEBLE DE MADERA;
1;4;46;468;468,1;FAB. MOBILIARIO DE MADERA PARA EL HOGAR;Si
1;4;46;468;468,2;FAB. MOBILIARIO MADERA ESCOLAR Y OFICINA;Si
1;4;46;468;468,3;FAB. MUEBLES DIV. MADERA, JUNCO, MIMBRE;Si
1;4;46;468;468,4;FAB. ATAUDES;Si
1;4;46;468;468,5;ACTIV. ANEXAS IND. MUEBLE;Si
1;4;47;;;"INDUST. PAPEL Y DERIV.;ARTES GRAF.Y EDI.";
1;4;47;471;;FAB. PASTA PAPELERA;Si
1;4;47;471;471,1;PASTA PAPELERA;
1;4;47;471;471,2;SUBPRODUCTOS PASTA PAPELERA;
1;4;47;472;;FAB. PAPEL Y CARTON;Si
1;4;47;472;472,1;PAPEL Y CARTON;
1;4;47;472;472,2;PTOS. RESIDUALES FAB. PAPEL Y CARTON;
1;4;47;473;;TRANSFORMACION DE PAPEL Y CARTON;
1;4;47;473;473,1;FAB. CARTON ONDULADO Y SUS ARTICULOS;Si
1;4;47;473;473,2;FAB. OTROS ART. Y ENVASES PAPEL Y CARTON;Si
1;4;47;473;473,3;FAB. ART. OFICINA, ESCRITORIO, EN PAPEL;Si
1;4;47;473;473,4;FAB. ART. DECORACION EN PAPEL Y CARTON;Si
1;4;47;473;473,9;FAB. OTROS MANIPULADOS PAPEL Y CARTON;Si
1;4;47;474;;ARTES GRAFICAS (IMPRESION GRAFICA);Si
1;4;47;474;474,1;IMPRESION TEXTOS E IMAGENES;
1;4;47;474;474,2;IMPRESION DE PRENSA DIARIA;
1;4;47;474;474,3;REPRODUCCION TEXTOS E IMAGENES;
1;4;47;475;;ACTIVIDADES ANEXAS ARTES GRAFICAS;Si
1;4;47;475;475,1;ESTEREOTIPIA, GOMAS CAUCHO, RODILLOS...;
1;4;47;475;475,2;COMPOSICION TEXTOS;
1;4;47;475;475,3;REPRODUCCION TEXTOS;
1;4;47;475;475,4;ENCUADERNACION;
1;4;47;476;;EDICION;
1;4;47;476;476,1;EDICION DE LIBROS;Si
1;4;47;476;476,2;EDICION DE PERIODICOS Y REVISTAS;Si
1;4;47;476;476,9;OTRAS EDICIONES NCOP;Si
1;4;48;;;INDUST. DE TRANSF. DEL CAUCHO Y PLASTICO;
1;4;48;481;;TRANSFORMACION DEL CAUCHO;
1;4;48;481;481,1;FAB. CUBIERTAS Y CAMARAS;Si
1;4;48;481;481,2;RECAUCHUTADO Y RECONSTRUCCION CUBIERTAS;Si
1;4;48;481;481,9;FAB. OTROS ART. CAUCHO NCOP;Si
1;4;48;482;;TRANSFORMACION DE MATERIAS PLASTICAS;
1;4;48;482;482,1;FAB. PTOS. SEMIELABORADOS PLASTICO;Si
1;4;48;482;482,2;FAB. ART. ACABADOS MATERIAS PLASTICAS;Si
1;4;49;;;OTRAS INDUSTRIAS MANUFACTURERAS;
1;4;49;491;;JOYERIA Y BISUTERIA;
1;4;49;491;491,1;JOYERIA;Si
1;4;49;491;491,2;BISUTERIA;Si
1;4;49;492;;FAB. INSTRUMENTOS DE MUSICA;Si
1;4;49;492;492,1;INSTRUMENTOS DE CUERDA DE TECLADO;
1;4;49;492;492,2;INSTRUMENTOS DE VIENTO DE TECLADO;
1;4;49;492;492,3;INSTRUMENTOS DE CUERDA;
1;4;49;492;492,4;INSTRUMENTOS VIENTO;
1;4;49;492;492,5;INSTRUMENTOS PERCUSION;
1;4;49;492;492,6;INSTRUMENTOS MUSICALES ELECTRONICOS;
1;4;49;492;492,7;OTROS INSTRUMENTOS MUSICALES;
1;4;49;492;492,8;PARTES, PIEZAS SUELTAS INSTRUM.MUSICALES;
1;4;49;493;;LABORATORIOS FOTOGRAFICOS Y CINEMAT.;Si
1;4;49;493;493,1;PELICULAS Y COPIAS CINE REVELADAS;
1;4;49;493;493,2;PLACAS, PELICULAS, NAGATIVAS Y DIAPOSIT.;
1;4;49;493;493,3;COPIAS FOTOGRAFICAS Y AMPLIACIONES;
1;4;49;494;;FAB. DE JUEGOS, JUGETES Y ART. DEPORTE;
1;4;49;494;494,1;FAB. JUEGOS, JUGUETES Y ART. PUERICULT.;Si
1;4;49;494;494,2;FAB. ART. DEPORTE;Si
1;4;49;495;;INDUST. MANUFACTURERAS DIVERSAS;
1;4;49;495;495,1;FAB. ART. ESCRITORIO;Si
1;4;49;495;495,9;FAB. OTROS ART. NCOP;Si
1;5;;;;CONSTRUCCION;
1;5;50;;;CONSTRUCCION;
1;5;50;501;;EDIFICACION Y OBRA CIVIL;
1;5;50;501;501,1;CONSTRUCCION COMPLETA, REPAR. Y CONSERV.;Si
1;5;50;501;501,2;CONSTRUCC. COMPLETA OBRAS CIVILES;Si
1;5;50;501;501,3;ALBAÑILERIA Y PEQ. TRABAJOS CONSTRUCCION;Si
1;5;50;502;;TERRENOS,DEMOLICIONES,AGUAS Y PAVIMENTOS;
1;5;50;502;502,1;DEMOLICIONES Y DERRIBOS EN GENERAL;Si
1;5;50;502;502,2;CONSOLIDACION Y PREPARACION DE TERRENOS;Si
1;5;50;502;502,3;CONSOLID. Y PREP. TERRENOS OBRAS CIVILES;Si
1;5;50;502;502,4;CIMENTACIONES Y PAVIMENTACIONES;Si
1;5;50;502;502,5;CIMENTACIONES Y PAVIMENTAC.OBRAS CIVILES;Si
1;5;50;502;502,6;PERFORACIONES ALUMBRAMIENTO DE AGUAS;Si
1;5;50;503;;ESTRUCTURAS,CUBIERTAS,POSTES,TORRES,ETC.;
1;5;50;503;503,1;PREP. MONTAJE ESTRUCTURAS Y CUBIERTAS;Si
1;5;50;503;503,2;PREP. ESTRUC. CUBIERTAS EN OBRAS CIVILES;Si
1;5;50;503;503,3;MONTAJE ESTRUC. METALICAS TTE. Y OBRAS;Si
1;5;50;503;503,4;OBRAS SIN MAQUINAS Y SIN MAS 4 OBREROS;Si
1;5;50;504;;INSTALACIONES Y MONTAJES;
1;5;50;504;504,1;INSTALACIONES ELECTRICAS EN GENERAL;Si
1;5;50;504;504,2;INSTALACIONES FONTANERIA;Si
1;5;50;504;504,3;INSTALACIONES FRIO Y CALOR;Si
1;5;50;504;504,4;INSTALACIONES PARARRAYOS;Si
1;5;50;504;504,5;INSTALACION COCINAS;Si
1;5;50;504;504,6;INSTALACION APARATOS ELEVADORES;Si
1;5;50;504;504,7;INSTALACIONES TELEFONICAS;Si
1;5;50;504;504,8;MONTAJES METALICOS E INSTALAC. INDUSTR.;Si
1;5;50;505;;ACABADO DE OBRAS;
1;5;50;505;505,1;REVESTIMIENTOS EXTERIORES E INTERIORES;Si
1;5;50;505;505,2;SOLADOS Y PAVIMENTOS;Si
1;5;50;505;505,3;SOLADOS Y PAVIMENTOS DE MADERA;Si
1;5;50;505;505,4;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;Si
1;5;50;505;505,5;CARPINTERIA Y CERRAJERIA;Si
1;5;50;505;505,6;PINTURA, Y REVESTIMIENTOS EN PAPEL;Si
1;5;50;505;505,7;ESCAYOLA Y YESOS;Si
1;5;50;506;;SERVICIOS AUX. DE LA CONST. Y DRAGADOS;
1;5;50;506;506;INSTALACION DE ANDAMIOS, CIMBRAS, ETC.;Si
1;5;50;507;;CONSTRUCCION DE TODA CLASE DE OBRAS;Si
1;5;50;508;;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;Si
1;6;;;;COMERCIO,RESTAUR.,HOSPEDAJE Y REPARACION;
1;6;61;;;COMERCIO AL POR MAYOR;
1;6;61;611;;COM. MAY. TODA CLASE DE MERCANCIAS;Si
1;6;61;612;;COM. MAT.PRIM.AGR.,ALIMENT.,BEB. Y TAB.;
1;6;61;612;612,1;COM.MAY.PTOS.ALIMENTIC.BEBIDAS Y TABACOS;Si
1;6;61;612;612,2;COM.MAY.CEREALES,PLANTAS,ABONOS,ANIMALES;Si
1;6;61;612;612,3;COM.MAY.FRUTAS Y VERDURAS;Si
1;6;61;612;612,4;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;Si
1;6;61;612;612,5;COM.MAY.LECHE,PTOS.LACTEOS, MIEL, ACEITE;Si
1;6;61;612;612,6;COM.MAY.BEBIDAS Y TABACO;Si
1;6;61;612;612,7;COM.MAY. VINOS Y VINAGRES DEL PAIS;Si
1;6;61;612;612,8;COM.MAY. PESCADOS;Si
1;6;61;612;612,9;COM.MAY.OTROS PTOS. ALIMENT.,HELADOS ETC;Si
1;6;61;613;;COM. TEXT., CONFEC., CALZADO Y ART.CUERO;
1;6;61;613;613,1;COM.MAY.PTOS.TEXTILES,CONFECC, Y CALZADO;Si
1;6;61;613;613,2;COM.MAY.TEJIDOS POR METROS, ALFOMBRAS;Si
1;6;61;613;613,3;COM.MAY. PRENDAS EXTERIORES VESTIR;Si
1;6;61;613;613,4;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;Si
1;6;61;613;613,5;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;Si
1;6;61;613;613,9;COM.MAY.ACCESORIOS VESTIDO NCOP;Si
1;6;61;614;;COM. PROD.FARMAC., PERFUM. Y HOGAR;
1;6;61;614;614,1;COM.MAY.PTOS.FARMACEUTICOS Y MEDICAMENTO;Si
1;6;61;614;614,2;COM.MAY.PTOS.PERFUMERIA,DROGUERIA;Si
1;6;61;614;614,3;COM.MAY.PTOS.MANTENIMIENTO HOGAR;Si
1;6;61;614;614,4;COM. MAY. PRODUCTOS ZOOSANITARIOS;Si
